name,year,value
Other Rodents,2000,62770000
Beef and Buffalo,2000,20484013
Horse,2000,4829421
Donkey,2000,2170178
Camel,2000,1682608
Game,2000,838364
Mule,2000,656700
Other Camelids,2000,494737
Frog and Marine Mammals,2000,116578
Chicken,2001,42005596000
Duck,2001,2031932000
Pig,2001,1101657969
Sheep and Goat,2001,813248261
Rabbit,2001,699118000
Turkey,2001,652252000
Sheep and Goat,2001,491555550
Goose,2001,477465000
Sheep and Goat,2001,321692711
Beef and Buffalo,2001,287468311
Pigeon,2001,63163000
Other Rodents,2001,63000000
Beef and Buffalo,2001,20372364
Horse,2001,5036462
Donkey,2001,2193207
Camel,2001,1781826
Game,2001,831939
Mule,2001,675600
Other Camelids,2001,492230
Frog and Marine Mammals,2001,121952
Chicken,2002,43664254000
Duck,2002,1998405000
Pig,2002,1133500519
Sheep and Goat,2002,820715735
Rabbit,2002,714597000
Turkey,2002,655653000
Sheep and Goat,2002,494428277
Goose,2002,465898000
Sheep and Goat,2002,326287457
Beef and Buffalo,2002,293108190
Other Rodents,2002,63500000
Pigeon,2002,62174000
Beef and Buffalo,2002,20758787
Horse,2002,4859416
Donkey,2002,2281668
Camel,2002,1758611
Game,2002,818993
Mule,2002,659600
Other Camelids,2002,532691
Frog and Marine Mammals,2002,119502
Chicken,2003,44363159000
Duck,2003,2075858000
Pig,2003,1173025584
Sheep and Goat,2003,846895990
Rabbit,2003,721129000
Turkey,2003,629437000
Sheep and Goat,2003,501210086
Goose,2003,482883000
Sheep and Goat,2003,345685904
Beef and Buffalo,2003,296977955
Other Rodents,2003,64900000
Pigeon,2003,62718000
Beef and Buffalo,2003,20047840
Horse,2003,4871250
Donkey,2003,2337336
Camel,2003,1824383
Game,2003,781721
Mule,2003,658600
Other Camelids,2003,533000
Frog and Marine Mammals,2003,113175
Chicken,2004,45278330000
Duck,2004,2107170000
Pig,2004,1185557429
Sheep and Goat,2004,871049903
Rabbit,2004,714049000
Turkey,2004,624012000
Sheep and Goat,2004,500895092
Goose,2004,490806000
Sheep and Goat,2004,370154811
Beef and Buffalo,2004,301901191
Other Rodents,2004,65500000
Pigeon,2004,64085000
Beef and Buffalo,2004,20680262
Horse,2004,4865373
Donkey,2004,2408262
Camel,2004,1912804
Game,2004,848454
Mule,2004,637500
Other Camelids,2004,540000
Frog and Marine Mammals,2004,105577
Chicken,2005,47461643000
Duck,2005,2290327000
Pig,2005,1200487078
Sheep and Goat,2005,896527108
Rabbit,2005,753648000
Turkey,2005,615986000
Goose,2005,526276000
Sheep and Goat,2005,512902947
Sheep and Goat,2005,383624161
Beef and Buffalo,2005,304656455
Other Rodents,2005,67000000
Pigeon,2005,61726000
Beef and Buffalo,2005,21280719
Horse,2005,4830932
Donkey,2005,2420426
Camel,2005,1768170
Game,2005,861374
Other Camelids,2005,631983
Mule,2005,605700
Frog and Marine Mammals,2005,107455
Chicken,2006,48259122000
Duck,2006,2273089000
Pig,2006,1231479013
Sheep and Goat,2006,914549099
Rabbit,2006,778406000
Turkey,2006,606452000
Sheep and Goat,2006,529458568
Goose,2006,520864000
Sheep and Goat,2006,385090531
Beef and Buffalo,2006,310737694
Other Rodents,2006,67000000
Pigeon,2006,61857000
Beef and Buffalo,2006,22036401
Horse,2006,4791667
Donkey,2006,2493460
Camel,2006,1988722
Game,2006,677999
Other Camelids,2006,671199
Mule,2006,616100
Frog and Marine Mammals,2006,102928
Chicken,2007,51167523000
Duck,2007,2440230000
Pig,2007,1265480763
Sheep and Goat,2007,931751680
Rabbit,2007,824222000
Turkey,2007,653526000
Goose,2007,571435000
Sheep and Goat,2007,539868379
Sheep and Goat,2007,391883301
Beef and Buffalo,2007,316711854
Other Rodents,2007,67500000
Pigeon,2007,62784000
Beef and Buffalo,2007,22884747
Horse,2007,4708919
Donkey,2007,2429033
Camel,2007,2195015
Game,2007,899269
Other Camelids,2007,714573
Mule,2007,583600
Frog and Marine Mammals,2007,101153
Chicken,2008,53571315000
Duck,2008,2576155000
Pig,2008,1299545256
Sheep and Goat,2008,933961417
Rabbit,2008,794360000
Turkey,2008,670019000
Goose,2008,586229000
Sheep and Goat,2008,532947458
Sheep and Goat,2008,401013960
Beef and Buffalo,2008,317269691
Other Rodents,2008,69000000
Pigeon,2008,62281000
Beef and Buffalo,2008,23175670
Horse,2008,4679767
Donkey,2008,2427923
Camel,2008,2380238
Game,2008,811660
Other Camelids,2008,753682
Mule,2008,546600
Frog and Marine Mammals,2008,105670
Chicken,2009,55394628000
Duck,2009,2598656000
Pig,2009,1319775446
Sheep and Goat,2009,939289378
Rabbit,2009,809932000
Turkey,2009,635917000
Goose,2009,620279000
Sheep and Goat,2009,526441066
Sheep and Goat,2009,412848312
Beef and Buffalo,2009,319261290
Other Rodents,2009,69800000
Pigeon,2009,60605000
Beef and Buffalo,2009,23624670
Horse,2009,4698616
Donkey,2009,2568750
Camel,2009,2366051
Other Camelids,2009,811336
Game,2009,664267
Mule,2009,570600
Frog and Marine Mammals,2009,98768
Chicken,2010,56643368000
Duck,2010,2685590000
Pig,2010,1383539789
Sheep and Goat,2010,948690226
Rabbit,2010,847475000
Goose,2010,633898000
Turkey,2010,632414000
Sheep and Goat,2010,523242950
Sheep and Goat,2010,425447277
Beef and Buffalo,2010,320634140
Other Rodents,2010,70000000
Pigeon,2010,60112000
Beef and Buffalo,2010,24552935
Horse,2010,4597205
Donkey,2010,2587981
Camel,2010,2573351
Other Camelids,2010,792795
Game,2010,656519
Mule,2010,544600
Frog and Marine Mammals,2010,104873
Chicken,2011,58260235000
Duck,2011,2784859000
Pig,2011,1387639934
Sheep and Goat,2011,938906960
Rabbit,2011,874014000
Goose,2011,653741000
Turkey,2011,638519000
Sheep and Goat,2011,513282872
Sheep and Goat,2011,425624088
Beef and Buffalo,2011,320391186
Other Rodents,2011,70000000
Pigeon,2011,59987000
Beef and Buffalo,2011,24883347
Horse,2011,4714874
Donkey,2011,2687288
Camel,2011,2621683
Other Camelids,2011,895514
Game,2011,687328
Mule,2011,526600
Frog and Marine Mammals,2011,103070
Chicken,2012,59489556000
Duck,2012,2902224000
Pig,2012,1427935389
Sheep and Goat,2012,956254209
Rabbit,2012,877199000
Goose,2012,696104000
Turkey,2012,654258000
Sheep and Goat,2012,524791616
Sheep and Goat,2012,431462593
Beef and Buffalo,2012,324322908
Other Rodents,2012,70371000
Pigeon,2012,61532000
Beef and Buffalo,2012,25560219
Horse,2012,4786722
Donkey,2012,2673732
Camel,2012,2479200
Other Camelids,2012,927982
Game,2012,729491
Mule,2012,523600
Frog and Marine Mammals,2012,94624
Chicken,2013,60408983000
Duck,2013,2881886000
Pig,2013,1452043214
Sheep and Goat,2013,975794242
Rabbit,2013,907249000
Goose,2013,687501000
Turkey,2013,632619000
Sheep and Goat,2013,538234616
Sheep and Goat,2013,437559625
Beef and Buffalo,2013,329372393
Other Rodents,2013,70371000
Pigeon,2013,64189000
Beef and Buffalo,2013,25285695
Horse,2013,4677932
Donkey,2013,2651005
Camel,2013,2434546
Other Camelids,2013,936841
Game,2013,591838
Mule,2013,482300
Frog and Marine Mammals,2013,98496
Chicken,2014,61835703000
Duck,2014,2835494000
Pig,2014,1469748361
Sheep and Goat,2014,989292919
Rabbit,2014,928406000
Goose,2014,698462000
Turkey,2014,632507000
Sheep and Goat,2014,544615167
